company_id,company_name,hq_country,hq_region,founded_year,maturity_class,ownership_type,status,ceased_year,segment_primary,segment_secondary,modality_primary,domains_primary,domains_secondary,spatial_scope,countries_claimed,access_model,microdata_access,evidence_level,notes
ipanel_israel,iPanel,ISR,MENA,2005,established,private_independent,active,NA,panel_sample,field_agency,online_panel,public_opinion|consumer_behavior,NA,single_country,1,panel_rental,commercial_only,C,Largest Israeli online panel
cognyte,Cognyte,ISR,MENA,2021,established,public_listed,active,NA,social_osint,identity_biometric,web_scrape,social_discourse|conflict_security,identity_biometric,global,100,subscription,none,B,Investigative analytics spun out of Verint in 2021; sells to state security agencies
zencity,Zencity,ISR,MENA,2015,scaleup,private_vc,active,NA,social_osint,survey_insights,web_scrape,social_discourse|public_opinion,NA,multi_region,3,subscription,commercial_only,B,Aggregates resident feedback and local social discussion for city governments
windward_ai,Windward,ISR,MENA,2010,scaleup,public_listed,active,NA,trade_logistics,social_osint,sensor_hardware,supply_chain|conflict_security,energy_extractives,global,195,subscription,commercial_only,B,Maritime risk and sanctions evasion detection
bright_data,Bright Data,ISR,MENA,2014,scaleup,private_pe,active,NA,web_data,b2b_firmographic,web_scrape,web_content|prices_retail,firmographic|social_discourse,global,195,subscription,commercial_only,B,Largest proxy and web extraction network; residential IP sourcing has drawn scrutiny
nimble_data,Nimble,ISR,MENA,2020,startup,private_vc,active,NA,web_data,NA,web_scrape,web_content|prices_retail,NA,global,190,api_license,commercial_only,C,AI-driven web data pipelines
tavily,Tavily,ISR,MENA,2023,startup,private_vc,active,NA,web_data,NA,web_scrape,web_content,NA,global,190,api_license,commercial_only,C,Search and retrieval API built for language model agents
arabic_ai,Arabic.AI,JOR,MENA,2023,startup,private_vc,active,NA,ai_training_data,NA,crowd_task,ai_labels|education,NA,single_region,20,api_license,commercial_only,B,Arabic language AI and dataset venture from the founder of Tarjama
maqsam,Maqsam,JOR,MENA,2015,scaleup,private_vc,active,NA,ai_training_data,audience_measurement,api_partner,ai_labels,consumer_behavior,multi_region,10,api_license,commercial_only,C,Amman firm building Arabic speech recognition and call analytics from dialect audio
mawdoo3,Mawdoo3,JOR,MENA,2010,scaleup,private_vc,active,NA,ai_training_data,web_data,web_scrape,ai_labels|web_content,education,single_region,20,api_license,commercial_only,B,Largest Arabic content platform; its corpus underpins the Salma Arabic voice assistant
nama_strategic,NAMA Strategic Intelligence Solutions,JOR,MENA,2006,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,NA,single_region,8,project_commission,none,C,Amman-based regional fieldwork contractor
altibbi,Altibbi,JOR,MENA,2011,scaleup,private_vc,active,NA,health_rwd,NA,mobile_app,health_clinical,NA,multi_region,8,subscription,none,B,Arabic telehealth platform generating a large consented consultation record set
arab_advisors,Arab Advisors Group,JOR,MENA,2001,established,private_independent,active,NA,survey_insights,audience_measurement,telephone,media_audience|consumer_behavior,NA,single_region,18,subscription,commercial_only,C,Amman-based telecom and media research across Arab markets
infopro_lebanon,InfoPro Research,LBN,MENA,1992,established,private_independent,active,NA,b2b_firmographic,survey_insights,admin_records,firmographic|prices_retail,NA,multi_region,6,subscription,commercial_only,C,Beirut business information and market research group
cri_lebanon,Consultation and Research Institute,LBN,MENA,1977,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,labor_employment|public_opinion,housing_property,multi_region,6,project_commission,none,C,Beirut research institute running household and labour force surveys for international agencies
information_international,Information International,LBN,MENA,1995,established,private_independent,active,NA,field_agency,b2b_firmographic,admin_records,public_opinion|firmographic,legal_regulatory,single_region,5,subscription,none,C,Beirut research and statistics consultancy
statistics_lebanon,Statistics Lebanon,LBN,MENA,1994,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion|consumer_behavior,media_audience,single_country,1,project_commission,none,C,Lebanese polling used heavily by broadcasters
diwan_research,Diwan Market Research,LBY,MENA,2011,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,NA,single_country,1,project_commission,none,C,Tripoli-based and among the only firms polling inside Libya
immar_rc,Immar Research and Consultancy,MAR,MENA,1999,established,private_independent,active,NA,audience_measurement,survey_insights,face_to_face,media_audience|public_opinion,consumer_behavior,single_region,8,subscription,commercial_only,A,Maghreb radio and television audience measurement plus the Africaleads opinion leader barometer
bjka_consulting,BJKA Consulting,MAR,MENA,2007,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,NA,single_country,1,project_commission,none,C,Casablanca-based fieldwork provider
gsc_morocco,Global for Survey and Consulting,MAR,MENA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
lms_csa_maroc,LMS CSA,MAR,MENA,1994,established,subsidiary,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|public_opinion,media_audience,single_country,1,project_commission,none,C,Long-standing Moroccan research house
sunergia,Sunergia,MAR,MENA,2001,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|public_opinion,NA,single_country,1,project_commission,none,C,Casablanca research institute
awrad,Arab World for Research and Development,PSE,MENA,2007,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|conflict_security,migration_displacement,single_region,6,project_commission,none,C,Ramallah-based with work across the Levant
near_east_consulting,Near East Consulting,PSE,MENA,2004,scaleup,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,consumer_behavior,single_country,1,open_free,none,C,Palestinian polling firm with published toplines; not to be confused with the unrelated Near East Consulting Group in Lebanon
mozn,Mozn,SAU,MENA,2017,scaleup,private_vc,active,NA,b2b_firmographic,identity_biometric,admin_records,identity_biometric|firmographic,credit_risk,single_region,10,api_license,commercial_only,C,Saudi analytics and financial crime screening firm
simah,Saudi Credit Bureau SIMAH,SAU,MENA,2002,established,private_independent,active,NA,consumer_broker,b2b_firmographic,admin_records,credit_risk|firmographic,NA,single_country,1,subscription,commercial_only,B,"The Saudi credit bureau, owned by the licensed banks"
elm_saudi,Elm,SAU,MENA,1988,established,state_linked,active,NA,identity_biometric,b2b_firmographic,api_partner,identity_biometric|firmographic,legal_regulatory,single_country,1,subscription,none,B,Operates Saudi government digital identity and verification services
lucidya,Lucidya,SAU,MENA,2016,scaleup,private_vc,active,NA,social_osint,survey_insights,api_partner,social_discourse|consumer_behavior,NA,single_region,20,subscription,commercial_only,B,Arabic-first social listening built for dialect handling that Western tools miss
sudan_polling_center,Sudan Polling and Statistics Center,SDN,MENA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
robocare,RoboCare,TUN,MENA,2019,startup,private_vc,active,NA,earth_observation,climate_risk,remote_sensing,agriculture|environment_climate,earth_observation,single_region,5,subscription,commercial_only,A,Tunisian precision agriculture platform fusing satellite imagery drone flights and ground IoT sensors
aarc_international,AARC International,TUN,MENA,2007,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|public_opinion,media_audience,multi_region,6,project_commission,none,C,Tunis survey and market research institute working across North Africa
elka_consulting,Elka Consulting,TUN,MENA,2011,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,consumer_behavior,single_country,1,project_commission,none,C,Tunisian survey and evaluation fieldwork
emrhod_consulting,Emrhod Consulting,TUN,MENA,2011,scaleup,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,consumer_behavior,single_country,1,project_commission,none,C,Tunisian electoral and opinion polling
one_to_one_tunisia,One to One for Research and Polling,TUN,MENA,2014,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,media_audience,single_region,5,project_commission,none,C,Tunis-based; recurring partner for cross-national attitudinal programmes
sigma_conseil,Sigma Conseil,TUN,MENA,1998,established,private_independent,active,NA,field_agency,audience_measurement,face_to_face,public_opinion|media_audience,consumer_behavior,single_region,6,project_commission,none,C,Runs Tunisian television audience measurement alongside political polling
chifco,Chifco,TUN,MENA,2011,scaleup,private_vc,active,NA,iot_telemetry,distributed_sensing,sensor_hardware,device_telemetry|energy_extractives,environment_climate,multi_region,5,subscription,commercial_only,C,Tunisian industrial internet of things firm returning energy and utility telemetry
insider_tr,Insider,TUR,MENA,2012,scaleup,private_vc,active,NA,consumer_broker,web_data,device_passive,consumer_behavior|web_content,NA,global,25,subscription,commercial_only,B,Istanbul-founded customer data platform assembling behavioural profiles for retailers
areda_survey,Areda Survey,TUR,MENA,2015,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,NA,single_country,1,project_commission,none,C,Turkish polling firm
avrasya_arastirma,Avrasya Arastirma,TUR,MENA,2013,scaleup,private_independent,active,NA,field_agency,NA,telephone,public_opinion,NA,single_country,1,project_commission,none,C,Owned by Kemal Ozkiraz; publishes frequent political polling
genar,GENAR Arastirma,TUR,MENA,1996,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,consumer_behavior,single_country,1,project_commission,none,C,Owned by Ihsan Aktas; government-aligned in Turkish commentary
gezici_arastirma,Gezici Arastirma,TUR,MENA,2004,established,private_independent,active,NA,field_agency,NA,face_to_face,public_opinion,NA,single_country,1,project_commission,none,C,Turkish polling company known for face-to-face street sampling
konda,KONDA Research and Consultancy,TUR,MENA,1986,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,consumer_behavior,single_country,1,subscription,researcher_restricted,B,Monthly Turkish barometer with long time series
mak_danismanlik,MAK Danismanlik,TUR,MENA,2010,scaleup,private_independent,active,NA,field_agency,NA,face_to_face,public_opinion,NA,single_country,1,project_commission,none,C,Turkish research and consultancy firm publishing political surveys
metropoll,MetroPOLL Strategic and Social Research,TUR,MENA,2004,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,NA,single_country,1,subscription,none,C,Turkish political tracking
orc_arastirma,ORC Arastirma,TUR,MENA,1996,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,NA,single_country,1,project_commission,none,C,Turkish polling company publishing regular national surveys
optimar,Optimar Arastirma,TUR,MENA,2013,scaleup,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,consumer_behavior,single_country,1,project_commission,none,B,Among the closest forecasters of the 2023 Turkish presidential result
piar_arastirma,PIAR Arastirma,TUR,MENA,2017,scaleup,private_independent,active,NA,field_agency,NA,telephone,public_opinion,NA,single_country,1,project_commission,none,C,Turkish polling company
sonar_arastirma,SONAR Arastirma,TUR,MENA,1994,established,private_independent,active,NA,field_agency,NA,telephone,public_opinion,NA,single_country,1,project_commission,none,C,One of the two closest forecasters of the 2023 Turkish election
turkiye_raporu,Turkiye Raporu,TUR,MENA,2019,startup,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,NA,single_country,1,subscription,none,C,Turkish polling brand founded around the 2019 municipal elections
yoneylem,Yoneylem Arastirma,TUR,MENA,2018,scaleup,private_independent,active,NA,field_agency,NA,telephone,public_opinion,NA,single_country,1,project_commission,none,C,Ankara polling company
ovilongwa,Ovilongwa Consulting,AGO,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
star_awards_bwa,Star Awards,BWA,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
zechlab,Zechlab,CIV,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
sagapoll,SagaPoll,CIV,SSA,2019,startup,private_vc,active,NA,panel_sample,crowd_micro,mobile_app,consumer_behavior|public_opinion,NA,single_region,15,panel_rental,commercial_only,A,Ivorian-built mobile survey panel designed for Francophone African respondents
cible_cameroun,Cible Etudes et Conseil,CMR,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
cofinco_comores,Comores Finance Consulting,COM,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
afrosondagem,Afrosondagem,CPV,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
lesan_ai,Lesan AI,ETH,SSA,2020,startup,private_vc,active,NA,ai_training_data,NA,crowd_task,ai_labels,NA,single_country,1,api_license,commercial_only,C,Builds Amharic and Tigrinya parallel corpora for machine translation
icog_labs,iCog Labs,ETH,SSA,2013,scaleup,private_independent,active,NA,ai_training_data,NA,crowd_task,ai_labels,NA,multi_region,4,project_commission,commercial_only,C,Addis Ababa AI research and annotation company
abcon_ethiopia,ABCON Research and Consulting,ETH,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
farmerline,Farmerline,GHA,SSA,2013,scaleup,private_vc,active,NA,field_agency,iot_telemetry,mobile_app,agriculture,prices_retail,multi_region,10,subscription,commercial_only,B,Voice and SMS agricultural extension collecting farmer profile and yield data
global_infoanalytics,Global InfoAnalytics,GHA,SSA,2019,startup,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion,NA,single_country,1,subscription,none,C,Ghanaian electoral polling firm
mpharma,mPharma,GHA,SSA,2013,scaleup,private_vc,active,NA,health_rwd,retail_pricing,transaction,health_clinical|prices_retail,NA,single_region,9,subscription,none,C,Pharmacy network generating African medicine pricing and dispensing data
appruve,Appruve,GHA,SSA,2018,scaleup,subsidiary,absorbed,2023,identity_biometric,b2b_firmographic,api_partner,identity_biometric,firmographic,multi_region,8,api_license,none,A,Founded by Paul Damalie; its parent Inclusive Innovations was acquired by Smile Identity in April 2023
esoko,Esoko,GHA,SSA,2005,established,private_independent,active,NA,retail_pricing,field_agency,mobile_app,prices_retail|agriculture,NA,multi_region,10,subscription,commercial_only,B,Collects market prices from African commodity markets and distributes them by SMS
stat_view_guinea,Stat View International,GIN,SSA,NA,scaleup,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion,labor_employment,single_country,1,project_commission,open,A,Afrobarometer national partner; runs the national face-to-face round and the microdata is released openly. Founding year not published
reelforge,Reelforge,KEN,SSA,2011,scaleup,private_independent,active,NA,audience_measurement,social_osint,device_passive,media_audience|social_discourse,NA,multi_region,6,subscription,commercial_only,C,East African broadcast and digital media monitoring
apollo_agriculture,Apollo Agriculture,KEN,SSA,2016,scaleup,private_vc,active,NA,climate_risk,consumer_broker,remote_sensing,agriculture|credit_risk,earth_observation,single_region,3,api_license,none,B,Satellite and agronomic profiling of smallholder farms used to underwrite input credit
gro_intelligence,Gro Intelligence,KEN,SSA,2014,scaleup,private_vc,wound_down,2024,climate_risk,earth_observation,remote_sensing,agriculture|environment_climate,supply_chain,global,100,subscription,commercial_only,B,Agricultural and climate data platform that ceased operations in 2024
echo_mobile,Echo Mobile,KEN,SSA,2012,scaleup,private_independent,active,NA,collection_software,field_agency,telephone,health_clinical|agriculture,education,single_region,10,subscription,none,C,SMS and voice data collection platform for African programmes
ona,Ona,KEN,SSA,2012,scaleup,private_independent,active,NA,collection_software,field_agency,face_to_face,health_clinical|agriculture,education,multi_region,40,subscription,none,C,Nairobi-based open-source data systems provider
metropol_kenya,Metropol Corporation,KEN,SSA,1996,established,private_independent,active,NA,consumer_broker,b2b_firmographic,admin_records,credit_risk|firmographic,NA,single_country,1,subscription,commercial_only,B,Licensed Kenyan credit reference bureau
spatial_collective,Spatial Collective,KEN,SSA,2011,scaleup,private_independent,active,NA,distributed_sensing,collection_software,mobile_app,infrastructure|housing_property,environment_climate,single_country,1,project_commission,open,C,Community mapping in Nairobi informal settlements; grew out of the Map Kibera work
ujuzikilimo,UjuziKilimo,KEN,SSA,2015,scaleup,private_vc,active,NA,distributed_sensing,climate_risk,crowd_sensor,agriculture|environment_climate,NA,single_region,4,subscription,none,A,Handheld spectral soil sensors used by farmers and agrodealers; over 17600 smallholder soil tests completed and a smartphone-connected version launched in 2025
aflabox,Aflabox,KEN,SSA,2021,startup,private_vc,active,NA,earth_observation,retail_pricing,sensor_hardware,agriculture|prices_retail,health_clinical,single_region,6,subscription,commercial_only,A,Portable ultraviolet imaging that grades grain and detects mycotoxins in the field with geolocated readings
amini,Amini,KEN,SSA,2022,startup,private_vc,active,NA,earth_observation,climate_risk,remote_sensing,environment_climate|agriculture,earth_observation,single_region,25,api_license,researcher_restricted,A,Nairobi startup assembling African environmental and soil data from satellite and ground sources
astral_aerial,Astral Aerial Solutions,KEN,SSA,2016,scaleup,private_independent,active,NA,earth_observation,NA,remote_sensing,earth_observation|agriculture,infrastructure,single_region,6,project_commission,commercial_only,C,Kenyan drone operator flying survey mapping and inspection missions across East Africa
soko_aerial,Soko Aerial,KEN,SSA,2016,scaleup,private_independent,active,NA,earth_observation,NA,remote_sensing,earth_observation|agriculture,infrastructure,single_region,8,project_commission,commercial_only,C,East African drone mapping and aerial survey operator
consumer_insight_africa,Consumer Insight Africa,KEN,SSA,2001,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|media_audience,NA,single_region,8,project_commission,none,C,East African consumer and media research
infotrak,Infotrak Research and Consulting,KEN,SSA,2004,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,NA,single_region,10,project_commission,none,C,East African fieldwork and political polling
pula,Pula Advisors,KEN,SSA,2015,scaleup,private_vc,active,NA,field_agency,climate_risk,face_to_face,agriculture|environment_climate,labor_employment,multi_region,22,project_commission,none,B,Runs large-scale crop-cut yield sampling to price smallholder insurance across Africa and Asia
research_solutions_africa,Research Solutions Africa,KEN,SSA,1997,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|health_clinical,agriculture,single_region,8,project_commission,none,C,Nairobi full-service fieldwork across East Africa
steadman_group,Steadman Group,KEN,SSA,1998,established,subsidiary,absorbed,2008,field_agency,survey_insights,face_to_face,public_opinion|consumer_behavior,media_audience,single_region,6,project_commission,none,A,Largest African research group of its era; bought by Synovate in 2008 adding Kenya Uganda Tanzania Zambia Ghana and Mozambique
tifa_research,TIFA Research,KEN,SSA,1996,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion|consumer_behavior,NA,single_country,1,project_commission,none,C,Kenyan opinion research
cellulant,Cellulant,KEN,SSA,2003,established,private_vc,active,NA,financial_altdata,NA,transaction,financial_transactions,agriculture,multi_region,18,subscription,commercial_only,C,Pan-African payments platform with agricultural input subsidy programmes as a data source
ilara_health,Ilara Health,KEN,SSA,2019,scaleup,private_vc,active,NA,health_rwd,iot_telemetry,clinical_records,health_clinical,device_telemetry,single_country,1,subscription,none,B,Diagnostic devices and records software in Kenyan primary care clinics
sunculture,SunCulture,KEN,SSA,2012,scaleup,private_vc,active,NA,iot_telemetry,distributed_sensing,sensor_hardware,agriculture|device_telemetry,energy_extractives,multi_region,5,subscription,commercial_only,B,Solar irrigation hardware returning pump and soil telemetry from smallholder farms
msurvey,mSurvey,KEN,SSA,2012,scaleup,private_vc,active,NA,panel_sample,field_agency,telephone,consumer_behavior|public_opinion,NA,single_region,6,subscription,commercial_only,C,SMS-based consumer feedback panels in East and West Africa
