company_id,company_name,parent_company,hq_country,hq_region,founded_year,maturity_class,ownership_type,sector,status,ceased_year,segment_primary,segment_secondary,modality_primary,unit_of_observation,temporal_granularity,spatial_scope,countries_claimed,domains_primary,domains_secondary,human_subjects,consent_model,access_model,microdata_access,evidence_level,notes
statista,Statista,Ströer,DEU,WEU,2007,established,subsidiary,for_profit,active,NA,survey_insights,web_data,admin_records,firm,annual,global,150,consumer_behavior|prices_retail,labor_employment,none,public_record,subscription,commercial_only,B,Aggregation and modelling layer rather than primary field collection
gfk_legacy,GfK,NIQ,DEU,WEU,1934,established,subsidiary,for_profit,absorbed,2023,retail_pricing,audience_measurement,transaction,transaction,weekly,multi_region,60,prices_retail|media_audience,consumer_behavior,indirect,contractual_third_party,subscription,commercial_only,B,Point of sales tracking absorbed into NIQ after 2023
m3_global_research,M3 Global Research,M3 Inc,JPN,EAS,2000,established,subsidiary,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,episodic,global,70,health_clinical|consumer_behavior,NA,direct,explicit_consent,panel_rental,commercial_only,C,Physician and healthcare professional panels
escalent,Escalent,STG Partners,USA,NOAM,2016,scaleup,private_pe,for_profit,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior|energy_extractives,device_telemetry,direct,explicit_consent,project_commission,commercial_only,C,Sector specialist in energy mobility and financial services
material_plus,Material,LLR Partners,USA,NOAM,2018,scaleup,private_pe,for_profit,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,8,consumer_behavior,media_audience,direct,explicit_consent,project_commission,commercial_only,C,Roll-up of several US insights agencies
c_space,C Space,Omnicom,USA,NOAM,1999,established,subsidiary,for_profit,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior,NA,direct,explicit_consent,project_commission,commercial_only,C,Online community and co-creation research
hall_and_partners,Hall and Partners,Omnicom,GBR,WEU,1992,established,subsidiary,for_profit,active,NA,survey_insights,NA,online_panel,individual,episodic,multi_region,10,consumer_behavior|media_audience,NA,direct,explicit_consent,project_commission,commercial_only,C,Brand and communications research
appinio,Appinio,NA,DEU,WEU,2014,scaleup,private_vc,for_profit,active,NA,survey_insights,panel_sample,online_panel,individual,daily,multi_region,90,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,B,Mobile-first rapid survey platform with strongest depth in Europe
attest,Attest,NA,GBR,WEU,2015,scaleup,private_vc,for_profit,active,NA,survey_insights,panel_sample,online_panel,individual,weekly,multi_region,58,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,C,Self-serve consumer research with a curated panel network
zappi,Zappi,NA,GBR,WEU,2012,scaleup,private_vc,for_profit,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,30,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,Automated concept and advertising testing
suzy,Suzy,NA,USA,NOAM,2017,scaleup,private_vc,for_profit,active,NA,survey_insights,panel_sample,online_panel,individual,daily,single_country,1,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,Largely US consumer insight
glimpse_ai,Glimpse,NA,USA,NOAM,2021,startup,private_vc,for_profit,active,NA,survey_insights,ai_training_data,online_panel,individual,episodic,single_country,1,consumer_behavior|public_opinion,ai_labels,direct,explicit_consent,subscription,commercial_only,C,Combines human panel responses with model-generated augmentation
listen_labs,Listen Labs,NA,USA,NOAM,2023,startup,private_vc,for_profit,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,20,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI-moderated qualitative interviewing at survey scale
strella,Strella,NA,USA,NOAM,2023,startup,private_vc,for_profit,active,NA,survey_insights,collection_software,online_panel,individual,episodic,single_country,1,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI-moderated interview platform
outset_ai,Outset,NA,USA,NOAM,2022,startup,private_vc,for_profit,active,NA,survey_insights,collection_software,online_panel,individual,episodic,multi_region,15,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,AI interviewer for qualitative research at scale
cint,Cint,NA,SWE,WEU,1998,established,public_listed,for_profit,active,NA,panel_sample,collection_software,online_panel,individual,daily,global,130,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,marketplace,commercial_only,A,Exchange model aggregating over 4600 supplier panels; absorbed Lucid in 2021
dynata,Dynata,NA,USA,NOAM,1977,established,private_pe,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,daily,global,70,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,panel_rental,commercial_only,B,Formed from Survey Sampling International and Research Now; restructured in 2024
toluna,Toluna,NA,USA,NOAM,2000,established,private_pe,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,daily,global,70,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,A,Community of roughly 79 million members across 70 plus markets
bilendi,Bilendi,NA,FRA,WEU,1999,established,public_listed,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,weekly,single_region,15,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,B,European specialist; absorbed Respondi in 2021
norstat,Norstat,NA,EST,EEU,1997,established,private_pe,for_profit,active,NA,panel_sample,field_agency,online_panel,individual,weekly,single_region,20,consumer_behavior|public_opinion,NA,direct,explicit_consent,panel_rental,commercial_only,C,Nordic Baltic and Central European panel depth
prolific,Prolific,NA,GBR,WEU,2014,scaleup,private_vc,for_profit,active,NA,panel_sample,ai_training_data,online_panel,individual,daily,multi_region,38,public_opinion|consumer_behavior,ai_labels,direct,explicit_consent,marketplace,researcher_restricted,B,Academic-oriented participant pool concentrated in UK US and Western Europe
cloudresearch,CloudResearch,NA,USA,NOAM,2015,scaleup,private_independent,for_profit,active,NA,panel_sample,collection_software,online_panel,individual,daily,single_country,1,public_opinion|consumer_behavior,NA,direct,explicit_consent,marketplace,researcher_restricted,C,Screened MTurk and Connect panels for academic research
purespectrum,PureSpectrum,NA,USA,NOAM,2016,scaleup,private_vc,for_profit,active,NA,panel_sample,NA,online_panel,individual,daily,multi_region,60,consumer_behavior,NA,direct,explicit_consent,marketplace,commercial_only,C,Sample marketplace with quality scoring layer
innovate_mr,InnovateMR,NA,USA,NOAM,2014,scaleup,private_independent,for_profit,active,NA,panel_sample,NA,online_panel,individual,daily,multi_region,90,consumer_behavior,firmographic,direct,explicit_consent,marketplace,commercial_only,C,Consumer and B2B sample supply
prodege,Prodege,Great Hill Partners,USA,NOAM,2005,established,private_pe,for_profit,active,NA,panel_sample,consumer_broker,online_panel,individual,daily,multi_region,40,consumer_behavior,NA,direct,explicit_consent,panel_rental,commercial_only,C,Owns Swagbucks and Pollfish reward-based recruitment
disqo,DISQO,NA,USA,NOAM,2015,scaleup,private_vc,for_profit,active,NA,panel_sample,audience_measurement,device_passive,individual,daily,single_country,1,consumer_behavior|media_audience,web_content,direct,explicit_consent,subscription,commercial_only,C,Consented behavioural panel combining survey and passive tracking
rakuten_insight,Rakuten Insight,Rakuten,JPN,EAS,2004,established,subsidiary,for_profit,active,NA,panel_sample,NA,online_panel,individual,weekly,single_region,12,consumer_behavior,NA,direct,explicit_consent,panel_rental,commercial_only,C,Asia-Pacific panel depth including Japan Taiwan and Southeast Asia
borderless_access,Borderless Access,NA,IND,SAS,2008,scaleup,private_independent,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,weekly,multi_region,40,consumer_behavior|health_clinical,NA,direct,explicit_consent,panel_rental,commercial_only,C,Emerging-market online panels including South Asia Africa and Latin America
milieu_insight,Milieu Insight,NA,SGP,SEA,2017,scaleup,private_vc,for_profit,active,NA,panel_sample,survey_insights,online_panel,individual,daily,single_region,8,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,C,Southeast Asia focused consumer panel
respondent_io,Respondent,NA,USA,NOAM,2016,scaleup,private_vc,for_profit,active,NA,panel_sample,expert_network,online_panel,individual,episodic,multi_region,25,labor_employment|consumer_behavior,firmographic,direct,explicit_consent,marketplace,commercial_only,C,Verified B2B and professional participant recruitment
qualtrics,Qualtrics,Silver Lake and CPP Investments,USA,NOAM,2002,established,private_pe,for_profit,active,NA,collection_software,panel_sample,online_panel,individual,daily,global,100,consumer_behavior|labor_employment,public_opinion,direct,explicit_consent,subscription,commercial_only,B,Instrument software plus brokered sample; customer owns the microdata
surveymonkey,SurveyMonkey,Symphony Technology Group,USA,NOAM,1999,established,private_pe,for_profit,active,NA,collection_software,panel_sample,online_panel,individual,daily,global,100,consumer_behavior|public_opinion,NA,direct,explicit_consent,subscription,commercial_only,B,Taken private in 2023; SurveyMonkey Audience supplies sample
alchemer,Alchemer,NA,USA,NOAM,2006,established,private_pe,for_profit,active,NA,collection_software,NA,online_panel,individual,daily,global,100,consumer_behavior,labor_employment,direct,explicit_consent,subscription,commercial_only,C,Formerly SurveyGizmo
forsta,Forsta,Press Ganey,USA,NOAM,2021,scaleup,subsidiary,for_profit,active,NA,collection_software,survey_insights,online_panel,individual,daily,global,80,consumer_behavior|health_clinical,media_audience,direct,explicit_consent,subscription,commercial_only,B,Merger of Confirmit FocusVision and Dapresy
sawtooth_software,Sawtooth Software,NA,USA,NOAM,1983,established,private_independent,for_profit,active,NA,collection_software,NA,online_panel,individual,episodic,global,100,consumer_behavior,NA,direct,explicit_consent,subscription,commercial_only,C,Conjoint and discrete choice instrumentation used heavily in academia
surveycto,SurveyCTO,Dobility,USA,NOAM,2011,scaleup,private_independent,for_profit,active,NA,collection_software,field_agency,face_to_face,individual,episodic,global,165,public_opinion|health_clinical,agriculture|education,direct,explicit_consent,subscription,none,A,Collect app reported in use across more than 165 countries; dominant in development research
kobotoolbox,KoboToolbox,Kobo Inc,USA,NOAM,2005,established,nonprofit,nonprofit,active,NA,collection_software,field_agency,face_to_face,individual,episodic,global,180,health_clinical|migration_displacement,agriculture|education,direct,explicit_consent,open_free,none,A,Founded 2005 by Phuong Pham and Patrick Vinck; hosted at the Harvard Humanitarian Initiative and independently incorporated in 2019
odk,ODK,Get ODK Inc,USA,NOAM,2008,established,nonprofit,nonprofit,active,NA,collection_software,NA,face_to_face,individual,episodic,global,180,health_clinical|agriculture,education|environment_climate,direct,explicit_consent,open_free,none,A,Open-source Collect and Central stack underlying much of the sector
commcare_dimagi,CommCare,Dimagi,USA,NOAM,2002,established,private_independent,for_profit,active,NA,collection_software,field_agency,face_to_face,individual,daily,global,130,health_clinical,education|agriculture,direct,explicit_consent,subscription,none,B,Frontline health worker case management and data capture
ona,Ona,NA,KEN,SSA,2012,scaleup,private_independent,for_profit,active,NA,collection_software,field_agency,face_to_face,individual,episodic,multi_region,40,health_clinical|agriculture,education,direct,explicit_consent,subscription,none,C,Nairobi-based open-source data systems provider
mwater,mWater,NA,USA,NOAM,2012,scaleup,nonprofit,nonprofit,active,NA,collection_software,NA,face_to_face,place,episodic,global,180,environment_climate|health_clinical,infrastructure,direct,explicit_consent,open_free,open,C,Free platform specialised in water and sanitation monitoring
redcap,REDCap,Vanderbilt University,USA,NOAM,2004,established,academic,academic,active,NA,collection_software,NA,clinical_records,individual,episodic,global,150,health_clinical,education,direct,explicit_consent,open_free,none,B,Consortium-licensed to academic medical centres; institution retains the data
gorilla_sc,Gorilla,Cauldron,GBR,WEU,2015,scaleup,private_independent,for_profit,active,NA,collection_software,NA,online_panel,individual,episodic,global,100,public_opinion,education,direct,explicit_consent,subscription,none,C,Online behavioural experiment builder used in psychology
credamo,Credamo,NA,CHN,CHN,2017,scaleup,private_independent,for_profit,active,NA,collection_software,panel_sample,online_panel,individual,daily,single_country,1,consumer_behavior|public_opinion,NA,direct,explicit_consent,marketplace,commercial_only,C,Chinese academic survey and experiment panel platform
wenjuanxing,Wenjuanxing,Changsha Ranxing,CHN,CHN,2006,established,private_independent,for_profit,active,NA,collection_software,panel_sample,online_panel,individual,daily,single_country,1,consumer_behavior|public_opinion,NA,direct,platform_terms,subscription,commercial_only,C,Dominant Chinese questionnaire platform
one_to_one_tunisia,One to One for Research and Polling,NA,TUN,MENA,2014,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,5,public_opinion|consumer_behavior,media_audience,direct,explicit_consent,project_commission,none,C,Tunis-based; recurring partner for cross-national attitudinal programmes
sigma_conseil,Sigma Conseil,NA,TUN,MENA,1998,established,private_independent,for_profit,active,NA,field_agency,audience_measurement,face_to_face,individual,daily,single_region,6,public_opinion|media_audience,consumer_behavior,direct,explicit_consent,project_commission,none,C,Runs Tunisian television audience measurement alongside political polling
emrhod_consulting,Emrhod Consulting,NA,TUN,MENA,2011,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,telephone,individual,episodic,single_country,1,public_opinion,consumer_behavior,direct,explicit_consent,project_commission,none,C,Tunisian electoral and opinion polling
elka_consulting,Elka Consulting,NA,TUN,MENA,2011,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_country,1,public_opinion,consumer_behavior,direct,explicit_consent,project_commission,none,C,Tunisian survey and evaluation fieldwork
bjka_consulting,BJKA Consulting,NA,MAR,MENA,2007,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_country,1,public_opinion|consumer_behavior,NA,direct,explicit_consent,project_commission,none,C,Casablanca-based fieldwork provider
lms_csa_maroc,LMS CSA,Groupe LMS,MAR,MENA,1994,established,subsidiary,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_country,1,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,project_commission,none,C,Long-standing Moroccan research house
baseera_egypt,Egyptian Center for Public Opinion Research Baseera,NA,EGY,MENA,2012,scaleup,nonprofit,nonprofit,active,NA,field_agency,survey_insights,telephone,individual,episodic,single_country,1,public_opinion,health_clinical,direct,explicit_consent,open_free,researcher_restricted,C,Publishes topline results; operates under Egyptian research approval constraints
pcpsr,Palestinian Center for Policy and Survey Research,NA,PSE,MENA,1993,established,nonprofit,nonprofit,active,NA,field_agency,survey_insights,face_to_face,individual,quarterly,single_country,1,public_opinion|conflict_security,NA,direct,explicit_consent,open_free,researcher_restricted,B,Founded 1993 as the Center for Palestine Research and Studies in Nablus and renamed PCPSR in 2000
awrad,Arab World for Research and Development,NA,PSE,MENA,2007,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,6,public_opinion|conflict_security,migration_displacement,direct,explicit_consent,project_commission,none,C,Ramallah-based with work across the Levant
nama_strategic,NAMA Strategic Intelligence Solutions,NA,JOR,MENA,2006,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,8,public_opinion|consumer_behavior,NA,direct,explicit_consent,project_commission,none,C,Amman-based regional fieldwork contractor
css_jordan,Center for Strategic Studies University of Jordan,University of Jordan,JOR,MENA,1984,established,academic,academic,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,10,public_opinion|conflict_security,NA,direct,explicit_consent,open_free,researcher_restricted,C,Academic polling centre with regional reach
iiacss,Independent Institute for Administration and Civil Society Studies,NA,IRQ,MENA,2003,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,5,public_opinion|conflict_security,NA,direct,explicit_consent,project_commission,none,C,One of very few firms sustaining face-to-face fieldwork in Iraq
parc_dubai,Pan Arab Research Center,NA,ARE,MENA,1979,established,private_independent,for_profit,active,NA,field_agency,audience_measurement,face_to_face,individual,episodic,single_region,15,consumer_behavior|media_audience,NA,direct,explicit_consent,project_commission,none,C,Gulf and wider Arab market fieldwork
ispa_iran,Iranian Students Polling Agency,Jahad Daneshgahi,IRN,MENA,2001,established,state_linked,academic,active,NA,field_agency,survey_insights,telephone,individual,episodic,single_country,1,public_opinion,consumer_behavior,direct,explicit_consent,open_free,none,C,State-affiliated; results are the main domestic polling source but politically constrained
gamaan,GAMAAN,NA,NLD,WEU,2019,startup,nonprofit,nonprofit,active,NA,field_agency,survey_insights,online_panel,individual,episodic,single_country,1,public_opinion,NA,direct,explicit_consent,open_free,researcher_restricted,C,Diaspora-run online sampling of Iranian respondents to bypass domestic constraints
konda,KONDA Research and Consultancy,NA,TUR,MENA,1986,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,monthly,single_country,1,public_opinion,consumer_behavior,direct,explicit_consent,subscription,researcher_restricted,B,Monthly Turkish barometer with long time series
metropoll,MetroPOLL Strategic and Social Research,NA,TUR,MENA,2004,established,private_independent,for_profit,active,NA,field_agency,survey_insights,telephone,individual,monthly,single_country,1,public_opinion,NA,direct,explicit_consent,subscription,none,C,Turkish political tracking
areda_survey,Areda Survey,NA,TUR,MENA,2015,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,monthly,single_country,1,public_opinion,NA,direct,explicit_consent,project_commission,none,C,Turkish polling firm
midgam_israel,Midgam Project,NA,ISR,MENA,1994,established,private_independent,for_profit,active,NA,field_agency,panel_sample,telephone,individual,episodic,single_country,1,public_opinion,consumer_behavior,direct,explicit_consent,project_commission,none,C,Israeli fieldwork and panel provider used in academic experiments
ipanel_israel,iPanel,NA,ISR,MENA,2005,established,private_independent,for_profit,active,NA,panel_sample,field_agency,online_panel,individual,weekly,single_country,1,public_opinion|consumer_behavior,NA,direct,explicit_consent,panel_rental,commercial_only,C,Largest Israeli online panel
arab_barometer,Arab Barometer,Princeton University,USA,NOAM,2006,established,academic,academic,active,NA,survey_insights,field_agency,face_to_face,individual,episodic,single_region,16,public_opinion,migration_displacement,direct,explicit_consent,open_free,open,A,Network commissioning local firms; publishes full microdata openly since 2006
afrobarometer,Afrobarometer,CDD-Ghana and partners,GHA,SSA,1999,established,nonprofit,nonprofit,active,NA,survey_insights,field_agency,face_to_face,individual,episodic,single_region,41,public_opinion,health_clinical|education,direct,explicit_consent,open_free,open,A,41 national partners; regional hubs in Ghana South Africa Kenya and Benin
cdd_ghana,Ghana Center for Democratic Development,NA,GHA,SSA,1998,established,nonprofit,nonprofit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,20,public_opinion,NA,direct,explicit_consent,open_free,open,A,Afrobarometer West Africa hub and national partner
ijr_south_africa,Institute for Justice and Reconciliation,NA,ZAF,SSA,2000,established,nonprofit,nonprofit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,15,public_opinion,conflict_security,direct,explicit_consent,open_free,open,A,Afrobarometer Southern Africa hub
ids_nairobi,Institute for Development Studies University of Nairobi,University of Nairobi,KEN,SSA,1965,established,academic,academic,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,12,public_opinion|labor_employment,NA,direct,explicit_consent,open_free,open,A,Afrobarometer East Africa hub
ireg_benin,Innovante Recherche en Economie et Gouvernance,NA,BEN,SSA,2015,scaleup,nonprofit,nonprofit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,10,public_opinion,NA,direct,explicit_consent,open_free,open,A,Afrobarometer francophone West Africa hub
infotrak,Infotrak Research and Consulting,NA,KEN,SSA,2004,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,10,public_opinion|consumer_behavior,NA,direct,explicit_consent,project_commission,none,C,East African fieldwork and political polling
tifa_research,TIFA Research,NA,KEN,SSA,1996,established,private_independent,for_profit,active,NA,field_agency,survey_insights,telephone,individual,episodic,single_country,1,public_opinion|consumer_behavior,NA,direct,explicit_consent,project_commission,none,C,Kenyan opinion research
consumer_insight_africa,Consumer Insight Africa,NA,KEN,SSA,2001,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,8,consumer_behavior|media_audience,NA,direct,explicit_consent,project_commission,none,C,East African consumer and media research
geopoll,GeoPoll,Mobile Accord,USA,NOAM,2012,scaleup,private_independent,for_profit,active,NA,field_agency,panel_sample,telephone,individual,weekly,multi_region,35,public_opinion|media_audience,health_clinical|migration_displacement,direct,explicit_consent,project_commission,none,B,SMS voice and app surveys reaching low-connectivity African and Asian populations
sagaci_research,Sagaci Research,NA,MUS,SSA,2012,scaleup,private_independent,for_profit,active,NA,field_agency,retail_pricing,face_to_face,individual,monthly,single_region,25,consumer_behavior|prices_retail,media_audience,direct,explicit_consent,subscription,commercial_only,C,Pan-African consumer tracking and retail audits
noipolls,NOIPolls,NA,NGA,SSA,2006,established,private_independent,for_profit,active,NA,field_agency,survey_insights,telephone,individual,monthly,single_country,1,public_opinion|health_clinical,NA,direct,explicit_consent,open_free,none,C,Nigerian opinion polling affiliated with the Gallup methodology
sbm_intelligence,SB Morgen Intelligence,NA,NGA,SSA,2012,scaleup,private_independent,for_profit,active,NA,field_agency,social_osint,face_to_face,individual,monthly,single_region,6,conflict_security|public_opinion,prices_retail,direct,explicit_consent,subscription,none,C,Nigerian geopolitical and security research with incident tracking
practical_sampling,Practical Sampling International,NA,NGA,SSA,1996,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,6,consumer_behavior|public_opinion,NA,direct,explicit_consent,project_commission,none,C,West African fieldwork contractor
ask_afrika,Ask Afrika,NA,ZAF,SSA,1995,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,15,consumer_behavior|public_opinion,media_audience,direct,explicit_consent,project_commission,none,C,South African research house with continental reach
plus94_research,Plus 94 Research,NA,ZAF,SSA,1998,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_region,10,public_opinion|consumer_behavior,NA,direct,explicit_consent,project_commission,none,C,South African social and political research
citizen_surveys,Citizen Surveys,NA,ZAF,SSA,1995,established,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_country,1,public_opinion,NA,direct,explicit_consent,project_commission,none,C,South African opinion measurement
busara_center,Busara Center for Behavioral Economics,NA,KEN,SSA,2013,scaleup,nonprofit,nonprofit,active,NA,field_agency,collection_software,face_to_face,individual,episodic,multi_region,20,public_opinion|labor_employment,health_clinical|education,direct,explicit_consent,project_commission,researcher_restricted,B,Behavioural lab and field experiment infrastructure across Africa and South Asia
ipa_research,Innovations for Poverty Action,NA,USA,NOAM,2002,established,nonprofit,nonprofit,active,NA,field_agency,collection_software,face_to_face,household,episodic,multi_region,22,labor_employment|education,health_clinical|agriculture,direct,explicit_consent,open_free,researcher_restricted,B,Runs its own country offices and enumerator networks for randomised evaluations
jpal,J-PAL,MIT,USA,NOAM,2003,established,academic,academic,active,NA,field_agency,survey_insights,face_to_face,household,episodic,multi_region,25,labor_employment|education,health_clinical|agriculture,direct,explicit_consent,open_free,open,B,Research network whose affiliates commission and archive large volumes of primary field data
laterite,Laterite,NA,NLD,WEU,2011,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,face_to_face,household,episodic,single_region,6,education|labor_employment,agriculture|health_clinical,direct,explicit_consent,project_commission,none,C,East African data firm with permanent offices in Rwanda Ethiopia Kenya and Uganda
sixty_decibels,60 Decibels,NA,USA,NOAM,2019,scaleup,private_independent,for_profit,active,NA,field_agency,survey_insights,telephone,individual,episodic,multi_region,80,labor_employment|health_clinical,agriculture|education,direct,explicit_consent,project_commission,none,B,Phone-based social impact measurement using local call teams
lokniti_csds,Lokniti CSDS,Centre for the Study of Developing Societies,IND,SAS,1963,established,academic,academic,active,NA,field_agency,survey_insights,face_to_face,individual,episodic,single_country,1,public_opinion,education,direct,explicit_consent,open_free,researcher_restricted,B,National Election Study series and the main academic survey infrastructure in India
