innovation_id,company_id,novelty_type,novel_element,displaces,first_deployment_year,contested,evidence_level,url,notes
in_bellingcat,bellingcat,new_substrate,Open source video and imagery verified as investigative evidence,State intelligence and accredited journalism,2014,no,A,https://www.bellingcat.com/,Demonstrated that publicly posted material could establish facts that governments contested
in_airwars,airwars,new_substrate,Local language casualty claims archived and put to belligerents,Military reported strike assessments,2014,yes,A,https://airwars.org/about/methodology/,"Contested by the militaries whose figures it disputes, which is the point of the method rather than a defect in it"
in_mnemonic,mnemonic,new_substrate,Platform video preserved before deletion as legal evidence,Evidence gathered by investigators on the ground,2018,no,A,https://mnemonic.org/,"The adversary is content moderation: collection has to outrun the platform's own deletion, a constraint no other collector in the register faces. The method began in the Syrian Archive in 2014 and Mnemonic was formed around it in 2018"
in_forensic_architecture,forensic_architecture,new_substrate,Spatial and architectural reconstruction from open sources,State forensic investigation,2011,yes,B,https://forensic-architecture.org/,"A university unit producing evidence admitted in courts and inquiries, competing on method with state capacity"
in_amini,amini,new_substrate,Aggregated environmental data for African geographies,Datasets built for other continents and applied to Africa,2023,no,B,https://www.amini.ai/,Addresses a data scarcity that is itself the product of where earlier collection was aimed
in_aerobotics,aerobotics,new_substrate,Tree level crop measurement from drone and satellite imagery,Field scouting by agronomists,2015,no,B,https://www.aerobotics.com/,"Per tree rather than per field, which changes what an insurer or a lender can underwrite"
in_atlan_space,atlan_space,new_substrate,Drones that choose their own search path for environmental crime,Patrol vessels and piloted survey flights,2018,no,B,https://atlanspace.com/about-atlan-space/index.html,"Built for enforcement budgets that cannot cover the water, which is a design constraint rather than a technical preference"
in_bidgely,bidgely,new_inference,Appliance level consumption disaggregated from one meter signal,Submetering each circuit or appliance,2013,no,B,https://www.bidgely.com/disaggregation,Nothing new is installed and nobody is asked anything. The new data is produced entirely from a record the utility already held
in_sonde,sonde_health,new_inference,Health state inferred from short speech samples,Clinical assessment in a consulting room,2016,yes,B,https://www.sondehealth.com/,Contested on validation grounds. Embedding in chipsets from 2021 moves the collection point into the handset baseline
in_empatica,empatica,new_inference,Electrodermal activity at the wrist as a clinical signal,Fitness metrics from consumer wearables and in clinic monitoring,2015,no,B,https://www.empatica.com/,Regulatory clearance is what separates it from the consumer wearable market it physically resembles
in_trax,trax_retail,new_inference,Shelf condition read from photographs by computer vision,Human auditors walking the aisle with a clipboard,2013,no,B,https://traxretail.com/,Entered retail measurement against an entrenched duopoly by changing who does the looking
in_ookla,ookla,new_inference,User initiated speed tests aggregated into network measurement,Operator reported coverage maps,2006,no,B,https://www.ookla.com/,"The measurement is a by product of a free consumer tool, which is the oldest version of this pattern in the register"
in_viamo,viamo,new_sampling_frame,Interactive voice response surveys over basic phones,Face to face interviewing and smartphone panels,2012,no,B,https://viamo.io/,"Reaches people who have a phone but not literacy or data, which is a population no other modality in the register covers well"
in_evidation,evidation_health,new_substrate,Person generated health data from consumer devices with consent,Clinical trial data collected in clinical settings,2014,no,B,https://evidation.com/,"Pays participants and keeps the consent explicit, which is what distinguishes it from passive health telemetry"
